storeId,store_name,store_image,store_rating,store_category,store_address,store_view,store_review
34,넉둥베기,"https://mp-seoul-image-production-s3.mangoplate.com/1322635_1592053614692341.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,한정식 / 백반 / 정통 한식,제주 제주시내 ,"64,594",27
35,하도핑크,"https://mp-seoul-image-production-s3.mangoplate.com/1279529_1550403176756863.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,이탈리안,제주 함덕/김녕 ,"16,309",8
36,상원가든,"https://mp-seoul-image-production-s3.mangoplate.com/210517/510078_1458352431066_1077?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,고기 요리,제주 모슬포/화순 ,"36,237",18
37,해심가든,"https://mp-seoul-image-production-s3.mangoplate.com/15009/h70v8_wezv8wke.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,고기 요리,제주 중문단지 ,"81,152",33
38,제레미,"https://mp-seoul-image-production-s3.mangoplate.com/335587/555873_1519530897207_7268?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,카페 / 디저트,제주 한림/애월 ,"25,287",13
39,엘코테,"https://mp-seoul-image-production-s3.mangoplate.com/511866_1635817532071731.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,스테이크 / 바베큐,제주 제주시내 ,"6,472",9
40,화성식당,"https://mp-seoul-image-production-s3.mangoplate.com/15328/1148532_1615533067507_13438?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,한정식 / 백반 / 정통 한식,제주 제주시내 ,"19,006",17
41,육고깃집,"https://mp-seoul-image-production-s3.mangoplate.com/321918/520723_1494897003428_210245?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,고기 요리,제주 한림/애월 ,"26,392",10
42,바다를본돼지,"https://mp-seoul-image-production-s3.mangoplate.com/191731/2037323_1630219858878_5920?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,고기 요리,제주 한림/애월 ,"11,131",15
43,하찌,"https://mp-seoul-image-production-s3.mangoplate.com/413536/548266_1624849733357_35660?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,회 / 스시,제주 서귀포시내 ,"18,992",8
44,코코메아,"https://mp-seoul-image-production-s3.mangoplate.com/445122/12258_1666421216095_1660897730728.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,카페 / 디저트,제주 제주시내 ,"3,282",5
45,서귀다원,"https://mp-seoul-image-production-s3.mangoplate.com/428199/1921380_1622124448598_26387?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,카페 / 디저트,제주 서귀포시내 ,"34,566",16
46,동선제면가,"https://mp-seoul-image-production-s3.mangoplate.com/425971/397785_1665234411558_33167?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,국수 / 면 요리,제주 서귀포시내 ,"5,261",8
47,비마이게스트,"https://mp-seoul-image-production-s3.mangoplate.com/973239_1625534444025346.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,브런치 / 버거 / 샌드위치,제주 한림/애월 ,"24,574",15
48,선흘방주할머니식당,"https://mp-seoul-image-production-s3.mangoplate.com/153938/589620_1470816881176_40846?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,한정식 / 백반 / 정통 한식,제주 함덕/김녕 ,"15,916",13
49,영해식당,"https://mp-seoul-image-production-s3.mangoplate.com/27597_1597219483696552.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,탕 / 찌개 / 전골,제주 모슬포/화순 ,"12,471",13
50,은갈치김밥,"https://mp-seoul-image-production-s3.mangoplate.com/397084/14650_1626506364562_18012?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,기타 한식,제주 제주시내 ,"19,989",11
